x,y,z
{0, 0, 0}
{3.245737, -0, 0}
{3.245737, -2.202858, 0}
{6.309932, -2.202858, 0}
{6.309932, 0, 0}
{8.418765, 0, 0}
{8.418765, 0.274832, 0}
{15.694039, 0.274832, 0}
{15.694039, 7.13479, 0}
{11.502955, 7.13479, 0}
{11.502955, 15.760576, 0}
{8.418765, 15.760576, 0}
{8.418765, 7.13479, 0}
{0, 7.13479, 0}
{-0, 4.827245, 0}
{-5.24979, 4.827245, 0}
{-5.24979, 0, 0}
{0, 0, 0}
